epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3375,1.79389,2.37281,1.56568,0.97998,0.24203,0.61053,0.35127,1.48647,2.54506,1.32763,0.00328829,0.00328829,0.00328829
2,27.0229,1.54177,1.35779,1.32953,0.84038,0.70258,0.82835,0.48907,1.3932,1.2554,1.26537,0.00661507,0.00661507,0.00661507
3,39.0627,1.47551,1.24923,1.26474,0.69533,0.65219,0.69789,0.36861,1.45855,1.48788,1.3186,0.00993524,0.00993524,0.00993524
4,51.3642,1.48621,1.22048,1.25951,0.75507,0.67432,0.7342,0.37855,1.50832,1.77982,1.40036,0.0099703,0.0099703,0.0099703
5,63.2686,1.42907,1.12896,1.23406,0.82247,0.76096,0.83897,0.50645,1.34423,1.23006,1.26363,0.0099604,0.0099604,0.0099604
6,75.2393,1.43018,1.0949,1.21761,0.837,0.74912,0.85223,0.51992,1.33875,1.01303,1.23025,0.0099505,0.0099505,0.0099505
7,87.262,1.39328,1.0465,1.20809,0.8283,0.76192,0.84558,0.49295,1.34381,1.09825,1.25173,0.0099406,0.0099406,0.0099406
8,98.5736,1.39664,1.04607,1.20656,0.83031,0.77782,0.87113,0.53688,1.3419,0.96168,1.22434,0.0099307,0.0099307,0.0099307
9,109.725,1.37972,1.01135,1.20224,0.84542,0.7923,0.88318,0.55535,1.27634,0.97713,1.19698,0.0099208,0.0099208,0.0099208
10,121,1.38302,0.99347,1.19639,0.82822,0.75103,0.85203,0.52822,1.34239,0.97797,1.22008,0.0099109,0.0099109,0.0099109
11,132.123,1.36396,0.97457,1.18876,0.85736,0.78382,0.87729,0.55746,1.2989,0.88131,1.17584,0.009901,0.009901,0.009901
12,143.264,1.36072,0.95799,1.18746,0.83659,0.74885,0.85996,0.53065,1.31725,0.90537,1.22695,0.0098911,0.0098911,0.0098911
13,154.422,1.34616,0.93319,1.19095,0.83961,0.74709,0.85057,0.53682,1.30518,0.90317,1.19106,0.0098812,0.0098812,0.0098812
14,165.386,1.35413,0.95216,1.19599,0.85019,0.77958,0.8804,0.54977,1.29099,0.85759,1.20783,0.0098713,0.0098713,0.0098713
15,176.342,1.34194,0.92675,1.18419,0.87107,0.80184,0.89654,0.57332,1.26918,0.81314,1.16493,0.0098614,0.0098614,0.0098614
16,187.778,1.33686,0.9081,1.18019,0.83965,0.78665,0.87571,0.55427,1.27436,0.86271,1.18712,0.0098515,0.0098515,0.0098515
17,199.905,1.32136,0.89645,1.17767,0.86816,0.78135,0.88978,0.56933,1.25325,0.82513,1.17506,0.0098416,0.0098416,0.0098416
18,211.997,1.33092,0.90009,1.1797,0.86654,0.78771,0.88832,0.56912,1.27799,0.816,1.18268,0.0098317,0.0098317,0.0098317
19,223.358,1.31799,0.87873,1.17229,0.86215,0.8036,0.89615,0.56436,1.25692,0.9373,1.18261,0.0098218,0.0098218,0.0098218
20,234.944,1.31627,0.88851,1.18149,0.85661,0.77323,0.87679,0.54969,1.29434,0.82261,1.20762,0.0098119,0.0098119,0.0098119
21,245.999,1.3193,0.87685,1.174,0.86143,0.79492,0.89247,0.57564,1.256,0.83244,1.16165,0.009802,0.009802,0.009802
22,257.064,1.31466,0.87271,1.16267,0.85356,0.7598,0.86587,0.53983,1.29789,0.85414,1.19616,0.0097921,0.0097921,0.0097921
23,268.032,1.30356,0.84933,1.16567,0.86487,0.81161,0.90543,0.58825,1.22985,0.78112,1.16279,0.0097822,0.0097822,0.0097822
24,279.112,1.31102,0.86812,1.16939,0.8581,0.75592,0.86599,0.54359,1.29868,0.91129,1.20119,0.0097723,0.0097723,0.0097723
25,290.057,1.28945,0.84684,1.16131,0.86642,0.82479,0.90812,0.5877,1.23886,0.77839,1.17367,0.0097624,0.0097624,0.0097624
26,300.9,1.29927,0.84607,1.16676,0.87588,0.7983,0.8958,0.56955,1.29292,0.77458,1.18837,0.0097525,0.0097525,0.0097525
27,311.918,1.28761,0.84566,1.15707,0.85633,0.8142,0.90182,0.5763,1.23621,0.85245,1.17674,0.0097426,0.0097426,0.0097426
28,322.991,1.29817,0.83044,1.16555,0.87274,0.80422,0.90319,0.57728,1.25204,0.80488,1.17934,0.0097327,0.0097327,0.0097327
29,335.034,1.2774,0.82867,1.15575,0.86507,0.81981,0.90611,0.58719,1.2437,0.75136,1.17013,0.0097228,0.0097228,0.0097228
30,346.14,1.28872,0.82501,1.15176,0.88231,0.80502,0.90318,0.58236,1.24271,0.74277,1.17166,0.0097129,0.0097129,0.0097129
31,357.12,1.29273,0.8256,1.16532,0.87543,0.79795,0.89994,0.58844,1.25549,0.7575,1.16602,0.009703,0.009703,0.009703
32,368.186,1.27743,0.82032,1.15631,0.87813,0.81957,0.90967,0.5904,1.21148,0.77373,1.17334,0.0096931,0.0096931,0.0096931
33,379.121,1.28023,0.81604,1.1508,0.87359,0.81532,0.9077,0.59461,1.23047,0.74498,1.1629,0.0096832,0.0096832,0.0096832
34,390.131,1.26637,0.80538,1.14538,0.87955,0.80537,0.90326,0.57047,1.29909,0.74668,1.20078,0.0096733,0.0096733,0.0096733
35,401.064,1.26436,0.79985,1.13839,0.88796,0.81491,0.91872,0.60372,1.22042,0.71215,1.14469,0.0096634,0.0096634,0.0096634
36,412.144,1.2822,0.80939,1.15043,0.888,0.80937,0.911,0.59551,1.21902,0.73725,1.15702,0.0096535,0.0096535,0.0096535
37,423.182,1.26434,0.80543,1.14254,0.8759,0.81277,0.90588,0.57666,1.27667,0.728,1.19113,0.0096436,0.0096436,0.0096436
38,434.147,1.26862,0.8052,1.14786,0.86403,0.81255,0.90091,0.56755,1.29503,0.7643,1.20477,0.0096337,0.0096337,0.0096337
39,445.226,1.26807,0.79306,1.14724,0.87327,0.82162,0.91142,0.58911,1.23129,0.78715,1.17288,0.0096238,0.0096238,0.0096238
40,456.245,1.24561,0.78611,1.13694,0.88696,0.80537,0.90975,0.59145,1.2361,0.73422,1.15509,0.0096139,0.0096139,0.0096139
