fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.64846,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.64128,0.01226,0.00946,0.93972,0.00054,3.0,0.75633,7.35923,0.43922,1.36122,0.01364,0.6859,0.3784,0.0,0.1,0.52382,0.0,0.0,0.0,0.54719,0.0,1.0,0.0,0.0
0.64441,0.0095,0.01018,0.93585,0.0005,3.04024,0.8,7.48542,0.55165,1.6594,0.015,0.73109,0.4072,0.0,0.1,0.52271,0.0,0.0,0.0,0.49326,0.0,1.0,0.0,0.0
0.65135,0.00988,0.00995,0.93833,0.0005,2.96912,0.8,7.45427,0.50278,1.5,0.01509,0.70261,0.4,0.0,0.1,0.4958,0.0,0.0,0.0,0.5041,0.0,0.9988,0.0,0.0
0.64728,0.00942,0.00963,0.92105,0.0005,2.70255,0.8,8.92174,0.44162,1.61969,0.01165,0.72154,0.45247,0.0,0.1,0.3685,0.0,0.0,0.0,0.46256,0.0,1.0,0.0,0.0
0.64876,0.0089,0.01018,0.93585,0.0005,2.73518,0.71976,6.50901,0.56269,1.76824,0.015,0.9,0.4072,0.0,0.09216,0.49568,0.0,0.0,0.0,0.55333,0.0,1.0,0.0,0.0
0.64665,0.01074,0.00954,0.94419,0.00055,2.96912,0.82929,7.07211,0.56148,1.49089,0.01443,0.71626,0.39404,0.0,0.11847,0.44923,0.0,0.0,0.0,0.54119,0.0,1.0,0.0,0.0
0.64892,0.00948,0.01001,0.91945,0.00052,2.6233,0.783,7.8537,0.52557,1.52443,0.01394,0.70193,0.38037,0.0,0.10105,0.49464,0.0,0.0,0.0,0.51191,0.0,1.0,0.0,0.0
0.6457,0.00988,0.00865,0.95623,0.00054,2.9641,0.85605,9.07956,0.59075,1.6522,0.01429,0.70261,0.41566,0.0,0.09295,0.42545,0.0,0.0,0.0,0.48827,0.0,0.98386,0.0,0.0
0.64845,0.0098,0.00974,0.92152,0.00048,2.4989,0.82644,7.8537,0.52935,1.40116,0.01408,0.72816,0.36382,0.0,0.1009,0.51301,0.0,0.0,0.0,0.51998,0.0,1.0,0.0,0.0
0.64827,0.00992,0.00995,0.93614,0.0005,2.96168,0.8,7.55487,0.50498,1.51059,0.01491,0.70388,0.39838,0.0,0.10098,0.4958,0.0,0.0,0.0,0.5041,0.0,1.0,0.0,0.0
0.64172,0.00697,0.0094,0.94631,0.00052,2.96912,0.95,6.6108,0.52535,1.62392,0.01509,0.61758,0.4,0.0,0.09549,0.47502,0.0,0.0,0.0,0.69103,0.0,0.87588,0.0,0.0
0.64775,0.01112,0.00765,0.93833,0.00058,2.96912,0.6708,7.06411,0.58251,1.43151,0.01617,0.61649,0.31783,0.0,0.1,0.55402,0.0,0.0,0.0,0.46417,0.0,0.82833,0.0,0.0
0.65066,0.00988,0.00995,0.93833,0.00052,2.96179,0.7813,7.55511,0.49375,1.5,0.01465,0.72206,0.40879,0.0,0.09183,0.46288,0.0,0.0,0.0,0.51442,0.0,1.0,0.0,0.0
0.6468,0.00986,0.00995,0.93833,0.0005,2.96912,0.8016,7.45107,0.50278,1.50078,0.01509,0.70146,0.40034,0.0,0.10006,0.49567,0.0,0.0,0.0,0.50478,0.0,0.99805,0.0,0.0
0.64892,0.00742,0.01121,0.93833,0.00043,1.96868,0.7813,6.18537,0.51785,0.77891,0.01185,0.76234,0.38911,0.0,0.12394,0.55117,0.0,0.0,0.0,0.56339,0.0,1.0,0.0,0.0
0.6466,0.00943,0.00992,0.93451,0.00036,2.765,0.7813,8.01927,0.30828,1.63852,0.01465,0.72206,0.40879,0.0,0.10011,0.38194,0.0,0.0,0.0,0.51442,0.0,0.80621,0.0,0.0
0.65015,0.00988,0.00902,0.93833,0.00052,3.05532,0.7813,7.64202,0.4725,1.47241,0.01595,0.63679,0.40476,0.0,0.0907,0.48243,0.0,0.0,0.0,0.49677,0.0,1.0,0.0,0.0
0.64802,0.00988,0.00754,0.93833,0.00049,3.1446,0.85702,7.65025,0.49808,1.79237,0.01739,0.62343,0.49284,0.0,0.12334,0.50302,0.0,0.0,0.0,0.54433,0.0,0.9513,0.0,0.0
0.64379,0.00988,0.00995,0.91856,0.00049,3.55526,0.85595,5.61706,0.46048,1.5,0.01412,0.63263,0.44471,0.0,0.06349,0.66854,0.0,0.0,0.0,0.53866,0.0,1.0,0.0,0.0
0.64656,0.00988,0.00798,0.93833,0.00049,3.309,0.71113,9.09909,0.4942,1.47241,0.01423,0.50141,0.38596,0.0,0.09018,0.48243,0.0,0.0,0.0,0.49702,0.0,0.75845,0.0,0.0
0.65039,0.00988,0.00951,0.92934,0.00045,3.31665,0.8,7.45427,0.50278,1.43688,0.0153,0.64075,0.44813,0.0,0.09149,0.4958,0.0,0.0,0.0,0.5041,0.0,0.9988,0.0,0.0
0.65042,0.01,0.01276,0.89886,0.00056,3.16504,0.79365,7.28255,0.47793,1.46268,0.01465,0.78038,0.39224,0.0,0.09709,0.52093,0.0,0.0,0.0,0.51442,0.0,0.9029,0.0,0.0
0.64783,0.00884,0.00995,0.89617,0.0005,2.82608,0.8,8.0597,0.53683,1.67026,0.01717,0.80749,0.38171,0.0,0.1,0.43277,0.0,0.0,0.0,0.5843,0.0,0.94799,0.0,0.0
0.64211,0.01072,0.00977,0.94095,0.00051,2.96912,0.8,7.64356,0.48829,1.43169,0.01619,0.71463,0.45036,0.0,0.09958,0.56289,0.0,0.0,0.0,0.5041,0.0,1.0,0.0,0.0
0.647,0.00733,0.00844,0.85328,0.00054,2.66587,0.93121,6.88278,0.41602,1.5,0.01722,0.46289,0.36703,0.0,0.1,0.6604,0.0,0.0,0.0,0.55618,0.0,1.0,0.0,0.0
