fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.63946,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.645,0.00953,0.01042,0.93701,0.0005,3.35748,0.81988,7.25154,0.51224,1.35028,0.015,0.75858,0.4,0.0,0.11502,0.49119,0.0,0.0,0.0,0.5,0.0,0.95767,0.0,0.0
0.64474,0.00948,0.01042,0.93992,0.00049,3.3279,0.81367,7.28784,0.50267,1.37151,0.01501,0.75858,0.4,0.0,0.11436,0.48745,0.0,0.0,0.0,0.49552,0.0,0.95767,0.0,0.0
0.64412,0.00957,0.01104,0.94081,0.0005,3.29107,0.87008,6.87107,0.52739,1.27572,0.01482,0.7755,0.4,0.0,0.11502,0.51215,0.0,0.0,0.0,0.44059,0.0,1.0,0.0,0.0
0.64611,0.0065,0.01199,0.91916,0.0005,2.69256,0.67657,7.21712,0.5063,1.35028,0.01563,0.86895,0.42102,0.0,0.11323,0.36983,0.0,0.0,0.0,0.52414,0.0,1.0,0.0,0.0
0.63944,0.00965,0.01094,0.92607,0.00053,3.22608,0.81988,7.25154,0.52191,1.36245,0.0143,0.74382,0.38306,0.0,0.12228,0.49119,0.0,0.0,0.0,0.50427,0.0,1.0,0.0,0.0
0.6423,0.01131,0.01141,0.93072,0.0005,3.1399,0.5985,6.30287,0.45964,1.35028,0.01917,0.47252,0.43703,0.0,0.11502,0.49119,0.0,0.0,0.0,0.41068,0.0,0.85598,0.0,0.0
0.64099,0.00933,0.01022,0.93992,0.00051,3.49866,0.76702,7.43287,0.51691,1.3678,0.01497,0.77719,0.4092,0.0,0.11585,0.50417,0.0,0.0,0.0,0.496,0.0,0.93937,0.0,0.0
0.64852,0.0065,0.01199,0.91742,0.00051,2.69256,0.67481,7.14094,0.50892,1.34006,0.01566,0.87239,0.4212,0.0,0.11652,0.3678,0.0,0.0,0.0,0.53804,0.0,1.0,0.0,0.0
0.64267,0.00759,0.01199,0.86202,0.00051,2.7086,0.59742,8.88586,0.47447,1.8454,0.01103,0.9,0.32774,0.0,0.12875,0.40831,0.0,0.0,0.0,0.57048,0.0,1.0,0.0,0.0
