epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9872,1.78243,2.34425,1.56216,0.96785,0.23391,0.58972,0.33648,1.53304,2.58765,1.38785,0.00328829,0.00328829,0.00328829
2,46.2292,1.53513,1.34438,1.33285,0.80915,0.72307,0.82061,0.46673,1.43559,1.28074,1.27689,0.00661507,0.00661507,0.00661507
3,57.3782,1.47085,1.24529,1.26836,0.81875,0.64041,0.73251,0.41944,1.39108,1.77144,1.30988,0.00993524,0.00993524,0.00993524
4,68.6822,1.46721,1.21077,1.24803,0.82387,0.75097,0.83733,0.46679,1.38243,1.25066,1.28736,0.0099703,0.0099703,0.0099703
5,83.7223,1.41645,1.12301,1.22859,0.82617,0.63122,0.7251,0.43953,1.38577,1.95895,1.28196,0.0099604,0.0099604,0.0099604
6,109.662,1.41943,1.09128,1.21603,0.84856,0.7266,0.82661,0.50809,1.35002,1.15351,1.23118,0.0099505,0.0099505,0.0099505
7,135.425,1.39182,1.03193,1.20909,0.83835,0.76545,0.86666,0.53734,1.27696,0.99451,1.24304,0.0099406,0.0099406,0.0099406
8,162.463,1.39837,1.03554,1.21018,0.85835,0.7976,0.89177,0.55306,1.31086,0.96695,1.19711,0.0099307,0.0099307,0.0099307
9,187.305,1.37121,1.00119,1.19869,0.82645,0.76367,0.84921,0.51963,1.33117,1.04932,1.2029,0.0099208,0.0099208,0.0099208
10,212.392,1.37174,0.9896,1.19434,0.81559,0.72331,0.81469,0.48817,1.39214,1.11753,1.27154,0.0099109,0.0099109,0.0099109
11,237.283,1.35199,0.96867,1.1868,0.83501,0.77586,0.86508,0.54416,1.29401,0.92522,1.18836,0.009901,0.009901,0.009901
12,262.513,1.34667,0.95092,1.18514,0.84024,0.77146,0.85495,0.52956,1.3246,0.93917,1.22905,0.0098911,0.0098911,0.0098911
13,286.661,1.33974,0.92642,1.18871,0.85108,0.77924,0.87484,0.55693,1.25107,0.92627,1.18218,0.0098812,0.0098812,0.0098812
14,311.704,1.34634,0.94119,1.19401,0.86662,0.79642,0.89151,0.55707,1.27171,0.84311,1.20044,0.0098713,0.0098713,0.0098713
15,336.271,1.33998,0.92675,1.18664,0.84338,0.78877,0.87916,0.56394,1.28166,0.85903,1.18242,0.0098614,0.0098614,0.0098614
16,360.851,1.33233,0.90013,1.18211,0.8405,0.78735,0.88227,0.55877,1.28331,0.84407,1.18959,0.0098515,0.0098515,0.0098515
17,376.501,1.31848,0.88784,1.17764,0.87193,0.796,0.89791,0.57361,1.26754,0.7998,1.18713,0.0098416,0.0098416,0.0098416
18,388.46,1.3257,0.89605,1.18058,0.85433,0.80749,0.89377,0.5796,1.25166,0.79434,1.18239,0.0098317,0.0098317,0.0098317
19,400.139,1.31867,0.87682,1.17671,0.87861,0.82068,0.91592,0.59383,1.23803,0.80784,1.16394,0.0098218,0.0098218,0.0098218
20,417.315,1.3088,0.88338,1.17889,0.8567,0.82056,0.90192,0.57804,1.24547,0.813,1.18286,0.0098119,0.0098119,0.0098119
21,433.399,1.30727,0.86991,1.17152,0.87269,0.80147,0.90476,0.57896,1.26383,0.80872,1.17549,0.009802,0.009802,0.009802
22,444.997,1.30673,0.8633,1.16111,0.84275,0.79701,0.88699,0.5716,1.24123,0.8431,1.18282,0.0097921,0.0097921,0.0097921
23,456.203,1.29605,0.84548,1.16682,0.8598,0.81667,0.90112,0.58352,1.24308,0.77988,1.16649,0.0097822,0.0097822,0.0097822
24,467.29,1.30614,0.85889,1.16837,0.88301,0.78914,0.89754,0.57924,1.27527,0.79117,1.18323,0.0097723,0.0097723,0.0097723
25,478.597,1.28605,0.83427,1.16212,0.87132,0.81632,0.90196,0.58,1.26431,0.76698,1.17094,0.0097624,0.0097624,0.0097624
26,489.568,1.29604,0.83139,1.16364,0.87467,0.80862,0.90688,0.57493,1.28038,0.75391,1.18832,0.0097525,0.0097525,0.0097525
27,500.596,1.28312,0.8407,1.15336,0.85615,0.80572,0.89557,0.56818,1.24997,0.81638,1.17787,0.0097426,0.0097426,0.0097426
28,511.623,1.28994,0.82813,1.16229,0.85477,0.78629,0.88509,0.55632,1.29636,0.82447,1.21142,0.0097327,0.0097327,0.0097327
29,522.886,1.26845,0.82374,1.15029,0.87168,0.81667,0.90963,0.59456,1.22417,0.7451,1.16707,0.0097228,0.0097228,0.0097228
