epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7577,1.71308,1.67271,1.15846,0,0,0,0,0,0,0,0.0699463,0.000878475,0.000878475
2,28.6136,1.55891,1.14367,1.05981,0,0,0,0,0,0,0,0.0394225,0.00171065,0.00171065
3,38.0614,1.53948,1.09225,1.05513,0,0,0,0,0,0,0,0.00884003,0.0024841,0.0024841
4,48.5906,1.53576,1.06549,1.05064,0,0,0,0,0,0,0,0.00255906,0.00255906,0.00255906
5,59.3799,1.48754,1.00081,1.02695,0,0,0,0,0,0,0,0.00246541,0.00246541,0.00246541
6,69.0304,1.43272,0.9577,1.00666,0,0,0,0,0,0,0,0.00237176,0.00237176,0.00237176
7,78.4231,1.44157,0.9551,1.01258,0,0,0,0,0,0,0,0.00227811,0.00227811,0.00227811
8,87.3844,1.41127,0.91361,0.99638,0,0,0,0,0,0,0,0.00218446,0.00218446,0.00218446
9,96.3276,1.40584,0.90085,0.99531,0,0,0,0,0,0,0,0.00209082,0.00209082,0.00209082
10,105.418,1.3652,0.87415,0.98351,0,0,0,0,0,0,0,0.00199717,0.00199717,0.00199717
11,114.442,1.36672,0.85775,0.98086,0,0,0,0,0,0,0,0.00190352,0.00190352,0.00190352
12,123.357,1.36245,0.85468,0.98091,0,0,0,0,0,0,0,0.00180987,0.00180987,0.00180987
13,132.287,1.34457,0.83188,0.96853,0,0,0,0,0,0,0,0.00171622,0.00171622,0.00171622
14,141.584,1.33772,0.82689,0.96691,0,0,0,0,0,0,0,0.00162258,0.00162258,0.00162258
15,150.466,1.3283,0.82194,0.96259,0,0,0,0,0,0,0,0.00152893,0.00152893,0.00152893
16,159.343,1.32723,0.81428,0.95998,0,0,0,0,0,0,0,0.00143528,0.00143528,0.00143528
17,168.354,1.32661,0.80525,0.95943,0,0,0,0,0,0,0,0.00134163,0.00134163,0.00134163
18,177.229,1.30411,0.78686,0.94921,0,0,0,0,0,0,0,0.00124798,0.00124798,0.00124798
19,186.154,1.3036,0.77337,0.94457,0,0,0,0,0,0,0,0.00115434,0.00115434,0.00115434
20,195.036,1.28753,0.76051,0.93955,0,0,0,0,0,0,0,0.00106069,0.00106069,0.00106069
21,226.848,1.27515,0.73613,0.93464,0,0,0,0,0,0,0,0.000967039,0.000967039,0.000967039
22,236.207,1.25784,0.71925,0.93451,0,0,0,0,0,0,0,0.000873391,0.000873391,0.000873391
23,245.344,1.24503,0.71104,0.92482,0,0,0,0,0,0,0,0.000779743,0.000779743,0.000779743
24,254.914,1.24454,0.70986,0.92701,0,0,0,0,0,0,0,0.000686095,0.000686095,0.000686095
25,263.811,1.2374,0.69903,0.91837,0,0,0,0,0,0,0,0.000592447,0.000592447,0.000592447
26,272.59,1.21748,0.68476,0.92012,0,0,0,0,0,0,0,0.000498799,0.000498799,0.000498799
27,281.343,1.20962,0.66895,0.91109,0,0,0,0,0,0,0,0.000405151,0.000405151,0.000405151
28,290.107,1.20175,0.65733,0.91191,0,0,0,0,0,0,0,0.000311503,0.000311503,0.000311503
29,299.149,1.19977,0.65886,0.90696,0,0,0,0,0,0,0,0.000217855,0.000217855,0.000217855
30,309.565,1.18499,0.64676,0.90128,0.89527,0.85588,0.93542,0.6321,1.23118,0.62475,0.92279,0.000124206,0.000124206,0.000124206
