epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4805,1.78074,2.34874,1.55965,0.98088,0.23843,0.60278,0.35047,1.46709,2.57014,1.34336,0.00328829,0.00328829,0.00328829
2,26.9063,1.52585,1.3366,1.32508,0.82609,0.73331,0.8366,0.4739,1.43951,1.2466,1.27945,0.00661507,0.00661507,0.00661507
3,41.1607,1.4693,1.2351,1.26257,0.78724,0.72766,0.81192,0.45966,1.38723,1.29544,1.29543,0.00993524,0.00993524,0.00993524
4,52.5483,1.47425,1.20355,1.25066,0.8277,0.70505,0.80345,0.43756,1.47318,1.19475,1.31302,0.0099703,0.0099703,0.0099703
5,63.8789,1.41865,1.11336,1.22568,0.77696,0.6835,0.76068,0.42736,1.41553,1.88512,1.33131,0.0099604,0.0099604,0.0099604
6,75.2431,1.41717,1.0818,1.21484,0.81255,0.73802,0.82975,0.51702,1.31595,1.05879,1.22721,0.0099505,0.0099505,0.0099505
7,86.3408,1.38539,1.03384,1.20446,0.77235,0.70225,0.77858,0.41549,1.4775,1.34325,1.34994,0.0099406,0.0099406,0.0099406
8,97.5217,1.38932,1.03473,1.20325,0.85263,0.79089,0.88654,0.54717,1.33196,1.00672,1.19836,0.0099307,0.0099307,0.0099307
9,109.899,1.3769,1.00136,1.1968,0.84172,0.78708,0.87637,0.54473,1.29335,1.03434,1.19669,0.0099208,0.0099208,0.0099208
10,121.718,1.376,0.98642,1.19604,0.83183,0.74779,0.85127,0.52655,1.33696,1.1182,1.24289,0.0099109,0.0099109,0.0099109
11,133.365,1.35574,0.97008,1.18828,0.83597,0.75792,0.85537,0.53027,1.34086,0.93235,1.20532,0.009901,0.009901,0.009901
12,144.6,1.34846,0.94689,1.18273,0.82874,0.7432,0.83737,0.49733,1.39161,0.94217,1.28016,0.0098911,0.0098911,0.0098911
13,156.756,1.33839,0.92671,1.18376,0.82997,0.76386,0.84843,0.53904,1.29571,0.91331,1.18328,0.0098812,0.0098812,0.0098812
14,169.025,1.33858,0.9371,1.1845,0.82142,0.80753,0.88166,0.55487,1.27274,0.87063,1.1976,0.0098713,0.0098713,0.0098713
15,180.281,1.33599,0.91837,1.18226,0.87347,0.80784,0.90212,0.57934,1.26079,0.80813,1.16433,0.0098614,0.0098614,0.0098614
