epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2744,1.64128,2.14945,1.65891,0.92122,0.38827,0.70788,0.38953,1.35054,2.19339,1.34126,0.00345972,0.00345972,0.00345972
2,27.716,1.41068,1.28153,1.40485,0.79033,0.68039,0.78782,0.46644,1.30306,1.26873,1.41354,0.00695993,0.00695993,0.00695993
3,39.1456,1.37457,1.1867,1.37483,0.79148,0.73649,0.83075,0.50341,1.2687,1.09598,1.38014,0.0099802,0.0099802,0.0099802
4,50.4007,1.38021,1.14846,1.35818,0.80086,0.71883,0.81359,0.4574,1.30161,1.30979,1.41652,0.00997031,0.00997031,0.00997031
5,61.6732,1.3243,1.07249,1.34104,0.83109,0.71883,0.83709,0.51983,1.20217,1.12209,1.35744,0.00996041,0.00996041,0.00996041
6,72.822,1.32564,1.06905,1.33199,0.8373,0.76086,0.84982,0.51261,1.23108,0.98244,1.36014,0.00995051,0.00995051,0.00995051
7,84.0448,1.3142,1.02232,1.33551,0.85751,0.7651,0.87289,0.53614,1.22958,0.93035,1.33017,0.00994061,0.00994061,0.00994061
8,95.1587,1.3175,1.01754,1.32987,0.84258,0.74113,0.86041,0.54288,1.23892,0.98216,1.34471,0.00993071,0.00993071,0.00993071
9,106.311,1.29279,0.99235,1.31638,0.86342,0.79371,0.89582,0.56534,1.18379,0.92157,1.32929,0.00992082,0.00992082,0.00992082
10,117.433,1.28133,0.96985,1.31353,0.82048,0.71197,0.80202,0.49008,1.28212,1.08296,1.37355,0.00991092,0.00991092,0.00991092
11,128.46,1.2831,0.95603,1.31689,0.87332,0.78414,0.89759,0.57778,1.16504,0.84537,1.29512,0.00990102,0.00990102,0.00990102
12,139.57,1.2732,0.93408,1.30457,0.86692,0.80309,0.90126,0.57641,1.17763,0.8367,1.30217,0.00989112,0.00989112,0.00989112
13,150.759,1.25446,0.92763,1.30234,0.85024,0.78612,0.88693,0.5668,1.18005,0.89355,1.29577,0.00988123,0.00988123,0.00988123
