epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7379,1.28115,0.82427,1.18076,0.8726,0.81289,0.90635,0.59578,1.2086,0.74975,1.19279,0.000657658,0.000657658,0.000657658
2,50.6878,1.26091,0.7941,1.17711,0.86758,0.82056,0.91481,0.59929,1.2251,0.72586,1.19284,0.00131121,0.00131121,0.00131121
3,72.3062,1.24048,0.78374,1.17485,0.87244,0.82144,0.91463,0.60695,1.21788,0.72961,1.19185,0.00195157,0.00195157,0.00195157
4,84.4549,1.2623,0.79246,1.17535,0.87181,0.82515,0.91609,0.60688,1.20826,0.73133,1.18102,0.0019406,0.0019406,0.0019406
5,96.327,1.23523,0.78409,1.17224,0.87789,0.81844,0.91336,0.59502,1.22254,0.74621,1.20518,0.0019208,0.0019208,0.0019208
6,108.173,1.25777,0.7826,1.17491,0.87197,0.80925,0.90635,0.57729,1.26883,0.75194,1.22249,0.001901,0.001901,0.001901
7,119.958,1.24073,0.77244,1.16744,0.87742,0.83182,0.91732,0.60194,1.20701,0.72435,1.18485,0.0018812,0.0018812,0.0018812
8,131.869,1.26235,0.78082,1.17564,0.87641,0.83163,0.92017,0.61078,1.19975,0.72424,1.17097,0.0018614,0.0018614,0.0018614
9,143.759,1.24299,0.77238,1.17066,0.86275,0.806,0.89836,0.59004,1.23927,0.74812,1.19028,0.0018416,0.0018416,0.0018416
10,155.62,1.25201,0.77827,1.17081,0.86151,0.84352,0.91973,0.60636,1.22201,0.71747,1.19198,0.0018218,0.0018218,0.0018218
11,167.461,1.23938,0.76142,1.16177,0.89958,0.82338,0.92301,0.61304,1.19588,0.70084,1.17703,0.001802,0.001802,0.001802
12,179.342,1.23961,0.76863,1.16074,0.87577,0.81179,0.90975,0.60705,1.1956,0.72549,1.17782,0.0017822,0.0017822,0.0017822
13,191.223,1.23807,0.76457,1.17065,0.89303,0.82303,0.91892,0.6086,1.22053,0.70214,1.17299,0.0017624,0.0017624,0.0017624
14,203.117,1.24706,0.77008,1.1736,0.87455,0.83575,0.91892,0.60197,1.22043,0.72139,1.19592,0.0017426,0.0017426,0.0017426
15,214.938,1.24016,0.76621,1.16528,0.88681,0.83116,0.92307,0.61177,1.19914,0.70335,1.1783,0.0017228,0.0017228,0.0017228
16,226.78,1.24184,0.75787,1.16603,0.88013,0.81953,0.91599,0.60314,1.21405,0.72537,1.19185,0.001703,0.001703,0.001703
17,238.616,1.2271,0.75558,1.16274,0.88848,0.83221,0.92234,0.60808,1.20424,0.70766,1.18563,0.0016832,0.0016832,0.0016832
18,250.48,1.23975,0.76247,1.1646,0.86788,0.84458,0.92266,0.60742,1.21543,0.7091,1.17773,0.0016634,0.0016634,0.0016634
19,262.37,1.23209,0.76047,1.16103,0.87155,0.81243,0.90995,0.6072,1.18485,0.7304,1.16587,0.0016436,0.0016436,0.0016436
20,274.15,1.23016,0.75603,1.17103,0.88442,0.8406,0.92373,0.60988,1.20558,0.70908,1.18167,0.0016238,0.0016238,0.0016238
21,286.108,1.23143,0.75348,1.1637,0.88599,0.83175,0.92571,0.61763,1.18991,0.69258,1.17024,0.001604,0.001604,0.001604
22,298.008,1.22325,0.7521,1.15056,0.87174,0.8211,0.91346,0.60844,1.2003,0.70795,1.18045,0.0015842,0.0015842,0.0015842
23,309.823,1.22373,0.74221,1.15732,0.87908,0.83973,0.92696,0.6218,1.18372,0.67747,1.15983,0.0015644,0.0015644,0.0015644
24,321.78,1.23054,0.7629,1.1603,0.87852,0.85061,0.92881,0.61733,1.19551,0.69422,1.16762,0.0015446,0.0015446,0.0015446
25,333.667,1.21921,0.74043,1.15946,0.88918,0.83606,0.92523,0.61585,1.20396,0.67961,1.17293,0.0015248,0.0015248,0.0015248
26,345.466,1.22144,0.74253,1.15888,0.88338,0.83214,0.92238,0.62032,1.1965,0.6758,1.16509,0.001505,0.001505,0.001505
27,357.472,1.21972,0.7471,1.14924,0.87103,0.84599,0.92456,0.6153,1.20114,0.68209,1.16705,0.0014852,0.0014852,0.0014852
28,369.384,1.22523,0.74008,1.15959,0.8974,0.83108,0.92768,0.61942,1.18649,0.67121,1.16051,0.0014654,0.0014654,0.0014654
29,381.228,1.20515,0.73452,1.14985,0.87824,0.85659,0.92773,0.6213,1.18895,0.66553,1.16185,0.0014456,0.0014456,0.0014456
30,393.196,1.22581,0.73586,1.14945,0.89681,0.82904,0.92541,0.62187,1.18541,0.67667,1.16279,0.0014258,0.0014258,0.0014258
31,405.115,1.22387,0.7352,1.16195,0.87146,0.858,0.9303,0.62376,1.18501,0.67083,1.15447,0.001406,0.001406,0.001406
32,416.954,1.20622,0.73103,1.14849,0.88105,0.84599,0.92878,0.6239,1.1916,0.66568,1.16889,0.0013862,0.0013862,0.0013862
33,428.793,1.2206,0.74363,1.15062,0.86515,0.85663,0.92523,0.61388,1.19763,0.70039,1.17647,0.0013664,0.0013664,0.0013664
34,440.695,1.2056,0.72662,1.1463,0.89204,0.8414,0.92817,0.62356,1.18494,0.66489,1.16109,0.0013466,0.0013466,0.0013466
35,452.512,1.20236,0.72662,1.14268,0.88203,0.84515,0.9268,0.61552,1.20533,0.67031,1.17613,0.0013268,0.0013268,0.0013268
36,464.332,1.21099,0.72431,1.14654,0.88387,0.84599,0.92749,0.61951,1.19848,0.66892,1.16483,0.001307,0.001307,0.001307
37,476.174,1.21179,0.7248,1.14883,0.89065,0.85158,0.92821,0.61752,1.21461,0.67569,1.17846,0.0012872,0.0012872,0.0012872
38,488.043,1.20402,0.73494,1.14763,0.87795,0.86012,0.93353,0.62048,1.20191,0.66421,1.16752,0.0012674,0.0012674,0.0012674
39,499.889,1.21529,0.72569,1.14753,0.88136,0.85094,0.93129,0.62378,1.19266,0.66747,1.16742,0.0012476,0.0012476,0.0012476
40,511.748,1.1953,0.71619,1.14007,0.89391,0.84827,0.92938,0.62564,1.18654,0.6621,1.15166,0.0012278,0.0012278,0.0012278
41,523.638,1.19575,0.7151,1.13808,0.86543,0.84278,0.92194,0.60561,1.22321,0.68824,1.19103,0.001208,0.001208,0.001208
42,535.471,1.19537,0.72092,1.13421,0.89049,0.84705,0.92972,0.62741,1.17328,0.65849,1.15376,0.0011882,0.0011882,0.0011882
43,547.369,1.20226,0.70849,1.14193,0.87634,0.85862,0.93305,0.62229,1.19242,0.65799,1.16187,0.0011684,0.0011684,0.0011684
44,559.295,1.20143,0.71875,1.13439,0.88114,0.83537,0.92319,0.61618,1.18881,0.68029,1.16792,0.0011486,0.0011486,0.0011486
45,571.133,1.20181,0.71632,1.14346,0.88552,0.83893,0.92438,0.62404,1.17443,0.67749,1.15705,0.0011288,0.0011288,0.0011288
46,582.94,1.19898,0.7143,1.13994,0.86983,0.85681,0.92512,0.62013,1.18678,0.66447,1.16694,0.001109,0.001109,0.001109
47,594.781,1.18739,0.70586,1.13626,0.89427,0.84248,0.93139,0.62339,1.1926,0.65902,1.15796,0.0010892,0.0010892,0.0010892
48,606.721,1.18858,0.70501,1.13568,0.87093,0.85572,0.92777,0.61405,1.21174,0.66811,1.18457,0.0010694,0.0010694,0.0010694
49,618.516,1.19891,0.71472,1.1384,0.88593,0.84811,0.93087,0.62189,1.19053,0.65898,1.16982,0.0010496,0.0010496,0.0010496
50,630.46,1.19339,0.70093,1.13323,0.87069,0.85858,0.92908,0.62569,1.18206,0.65549,1.16092,0.0010298,0.0010298,0.0010298
51,642.356,1.18572,0.70362,1.13295,0.88337,0.84281,0.92665,0.62393,1.18269,0.65621,1.15729,0.00101,0.00101,0.00101
52,654.228,1.19359,0.70717,1.13722,0.88713,0.85507,0.93301,0.62787,1.18449,0.64031,1.14969,0.0009902,0.0009902,0.0009902
53,666.077,1.1849,0.70021,1.12986,0.8893,0.85127,0.93009,0.62973,1.17869,0.64132,1.15323,0.0009704,0.0009704,0.0009704
54,677.922,1.18068,0.69641,1.13091,0.87749,0.86613,0.93502,0.62701,1.18567,0.64972,1.15576,0.0009506,0.0009506,0.0009506
55,689.729,1.1867,0.69999,1.13069,0.87456,0.85212,0.93095,0.62451,1.17945,0.66179,1.16063,0.0009308,0.0009308,0.0009308
56,701.634,1.18079,0.69501,1.12841,0.90188,0.84095,0.93134,0.62876,1.18817,0.64135,1.15507,0.000911,0.000911,0.000911
57,713.493,1.1753,0.69751,1.13417,0.88384,0.85729,0.93056,0.62193,1.19101,0.64622,1.16705,0.0008912,0.0008912,0.0008912
58,725.352,1.18528,0.69626,1.12584,0.89243,0.85571,0.93509,0.63,1.17482,0.63797,1.14755,0.0008714,0.0008714,0.0008714
59,737.18,1.17169,0.69369,1.12168,0.8825,0.85429,0.93137,0.62313,1.18786,0.64745,1.15513,0.0008516,0.0008516,0.0008516
