epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2959,1.25774,0.78581,1.14263,0.87064,0.82256,0.91331,0.60032,1.20013,0.81281,1.14982,0.000657658,0.000657658,0.000657658
2,27.1852,1.29999,0.81726,1.16518,0.82179,0.78382,0.86287,0.5289,1.33069,0.91721,1.23132,0.00131121,0.00131121,0.00131121
3,39.26,1.27886,0.81262,1.16172,0.87505,0.81102,0.90682,0.59485,1.22577,0.73448,1.1677,0.00195157,0.00195157,0.00195157
4,51.5275,1.29462,0.81901,1.16264,0.86393,0.81738,0.9074,0.591,1.24302,0.73437,1.16227,0.0019406,0.0019406,0.0019406
5,63.5128,1.2817,0.81696,1.16669,0.8606,0.81997,0.90777,0.58403,1.2648,0.76275,1.17524,0.0019208,0.0019208,0.0019208
6,75.5543,1.29703,0.82616,1.16207,0.88002,0.79795,0.89958,0.56982,1.28854,0.79058,1.1951,0.001901,0.001901,0.001901
7,87.5659,1.28601,0.81421,1.16275,0.8559,0.81406,0.9053,0.59134,1.21454,0.76309,1.15792,0.0018812,0.0018812,0.0018812
8,99.7024,1.29039,0.81859,1.16109,0.85636,0.80254,0.90028,0.58036,1.23855,0.77874,1.18006,0.0018614,0.0018614,0.0018614
9,111.605,1.27477,0.80217,1.1583,0.86368,0.79689,0.89534,0.58779,1.23152,0.75156,1.16049,0.0018416,0.0018416,0.0018416
10,123.542,1.28961,0.81882,1.15929,0.87372,0.79159,0.89728,0.58091,1.24793,0.77922,1.16654,0.0018218,0.0018218,0.0018218
11,135.575,1.27564,0.80562,1.15324,0.88625,0.80915,0.90937,0.59824,1.23684,0.72257,1.15365,0.001802,0.001802,0.001802
12,147.544,1.27641,0.80567,1.14976,0.86741,0.81597,0.90223,0.59194,1.2316,0.72562,1.15389,0.0017822,0.0017822,0.0017822
13,159.459,1.26173,0.78463,1.15305,0.88365,0.82338,0.91525,0.60799,1.22571,0.72204,1.14715,0.0017624,0.0017624,0.0017624
14,171.432,1.27286,0.79375,1.15807,0.86432,0.81844,0.91131,0.59303,1.2081,0.76774,1.1582,0.0017426,0.0017426,0.0017426
15,183.41,1.27075,0.78955,1.15194,0.87328,0.82762,0.91626,0.60285,1.22238,0.71108,1.15892,0.0017228,0.0017228,0.0017228
16,195.382,1.26889,0.79111,1.15478,0.87568,0.81279,0.90777,0.59062,1.24098,0.76234,1.1692,0.001703,0.001703,0.001703
17,207.36,1.24878,0.7742,1.14561,0.87369,0.81853,0.91083,0.60185,1.20786,0.72711,1.14636,0.0016832,0.0016832,0.0016832
18,219.247,1.27205,0.79769,1.15218,0.8886,0.78983,0.90333,0.59683,1.22961,0.75186,1.16278,0.0016634,0.0016634,0.0016634
19,231.218,1.25198,0.77744,1.14731,0.87786,0.82002,0.91117,0.59661,1.21436,0.71771,1.16881,0.0016436,0.0016436,0.0016436
20,243.163,1.25327,0.77351,1.15383,0.8714,0.81621,0.90832,0.58262,1.27673,0.72878,1.17795,0.0016238,0.0016238,0.0016238
21,255.07,1.24967,0.77386,1.14393,0.87044,0.82586,0.91579,0.59465,1.25104,0.71997,1.16395,0.001604,0.001604,0.001604
22,267.065,1.24811,0.77589,1.13764,0.87805,0.81891,0.91071,0.6011,1.21964,0.715,1.15756,0.0015842,0.0015842,0.0015842
23,279.104,1.24317,0.75482,1.14301,0.87917,0.81879,0.91497,0.59914,1.23374,0.72344,1.16805,0.0015644,0.0015644,0.0015644
24,291.008,1.24905,0.77328,1.14741,0.89193,0.83962,0.92807,0.60965,1.21467,0.70699,1.16349,0.0015446,0.0015446,0.0015446
25,302.99,1.23309,0.75179,1.13949,0.86087,0.83681,0.91342,0.59901,1.22441,0.71516,1.15909,0.0015248,0.0015248,0.0015248
26,314.927,1.24268,0.7656,1.1429,0.88433,0.81879,0.91496,0.61154,1.19636,0.69623,1.14663,0.001505,0.001505,0.001505
27,326.89,1.23041,0.75383,1.12912,0.89698,0.80883,0.91612,0.60941,1.20314,0.70305,1.14365,0.0014852,0.0014852,0.0014852
28,338.73,1.23708,0.73771,1.13687,0.87498,0.8301,0.91852,0.61133,1.21262,0.70082,1.15525,0.0014654,0.0014654,0.0014654
29,350.816,1.22013,0.74573,1.13399,0.86023,0.82829,0.90145,0.58674,1.25928,0.72088,1.18959,0.0014456,0.0014456,0.0014456
30,362.804,1.23058,0.74386,1.12603,0.89497,0.81703,0.91253,0.61231,1.20399,0.70118,1.13493,0.0014258,0.0014258,0.0014258
31,374.743,1.24122,0.7477,1.14216,0.89248,0.83858,0.92745,0.61777,1.20511,0.66642,1.13991,0.001406,0.001406,0.001406
32,386.822,1.22556,0.74116,1.13183,0.86667,0.84265,0.91359,0.59571,1.25161,0.73705,1.18774,0.0013862,0.0013862,0.0013862
