epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6396,2.20129,2.7242,1.7019,0.97053,0.12796,0.35993,0.16615,1.96207,2.87422,1.67102,0.00328829,0.00328829,0.00328829
2,26.918,1.98911,1.83417,1.56863,0.44729,0.38926,0.35645,0.13271,1.99365,2.24757,1.58074,0.00661507,0.00661507,0.00661507
3,39.9335,1.92562,1.76278,1.51225,0.24542,0.24726,0.13409,0.03957,2.51806,5.37194,1.96764,0.00993524,0.00993524,0.00993524
4,51.4561,1.90575,1.68182,1.48656,0.59443,0.49132,0.49859,0.20379,1.93544,2.84609,1.67341,0.0099703,0.0099703,0.0099703
5,63.4596,1.85964,1.59556,1.46771,0.6841,0.52914,0.60656,0.30288,1.70003,1.85428,1.4821,0.0099604,0.0099604,0.0099604
6,75.812,1.85807,1.57117,1.45478,0.62194,0.44684,0.52052,0.26769,1.78823,1.74312,1.58405,0.0099505,0.0099505,0.0099505
7,86.6972,1.83186,1.52475,1.45014,0.58417,0.46273,0.48382,0.1984,2.09775,1.79327,1.7203,0.0099406,0.0099406,0.0099406
8,97.8824,1.83742,1.52398,1.45026,0.69257,0.51644,0.59209,0.28251,1.85022,1.66344,1.51101,0.0099307,0.0099307,0.0099307
9,108.788,1.81977,1.49301,1.44121,0.70947,0.52876,0.61835,0.31962,1.72626,1.49334,1.4976,0.0099208,0.0099208,0.0099208
10,119.699,1.81146,1.46753,1.43508,0.74587,0.49241,0.58674,0.28128,1.94105,1.56072,1.54959,0.0099109,0.0099109,0.0099109
11,130.504,1.7894,1.45315,1.42117,0.73109,0.52627,0.62336,0.30679,1.77541,1.4879,1.4782,0.009901,0.009901,0.009901
12,141.256,1.78442,1.42428,1.42134,0.71713,0.5408,0.62349,0.29629,1.82864,1.51108,1.54831,0.0098911,0.0098911,0.0098911
13,152.137,1.76815,1.43248,1.42683,0.74567,0.53543,0.62133,0.31227,1.80591,1.49907,1.48199,0.0098812,0.0098812,0.0098812
14,162.78,1.77327,1.42751,1.42557,0.70209,0.47969,0.56497,0.28103,1.90591,1.54808,1.60465,0.0098713,0.0098713,0.0098713
15,173.497,1.77303,1.4298,1.41754,0.66913,0.45718,0.51279,0.25565,1.97328,1.68728,1.63035,0.0098614,0.0098614,0.0098614
16,184.4,1.76691,1.40121,1.4148,0.65045,0.49488,0.55794,0.24785,1.96337,1.58102,1.57678,0.0098515,0.0098515,0.0098515
17,195.146,1.74565,1.37201,1.41185,0.72387,0.54433,0.63505,0.32573,1.73385,1.41731,1.47088,0.0098416,0.0098416,0.0098416
18,205.922,1.74172,1.38189,1.40889,0.66713,0.49876,0.55596,0.25519,2.04,1.52624,1.69773,0.0098317,0.0098317,0.0098317
19,216.743,1.73799,1.35345,1.405,0.76622,0.55339,0.66225,0.34216,1.70305,1.36238,1.44548,0.0098218,0.0098218,0.0098218
20,227.536,1.73717,1.36812,1.41848,0.72127,0.55493,0.63552,0.31452,1.73745,1.41568,1.47886,0.0098119,0.0098119,0.0098119
