epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9101,1.78676,2.35509,1.56678,0.98089,0.25389,0.63268,0.37173,1.44902,2.5344,1.30407,0.00328829,0.00328829,0.00328829
2,114.953,1.53925,1.35647,1.32959,0.8268,0.71212,0.82667,0.47493,1.43727,1.24684,1.27933,0.00661507,0.00661507,0.00661507
3,128.461,1.4808,1.25502,1.27192,0.78817,0.70646,0.79905,0.45425,1.34654,1.34869,1.28921,0.00993524,0.00993524,0.00993524
4,141.036,1.48468,1.2142,1.25996,0.79344,0.72862,0.81136,0.44553,1.44017,1.38397,1.32698,0.0099703,0.0099703,0.0099703
5,153.17,1.42294,1.1397,1.23226,0.79792,0.68763,0.78418,0.45757,1.38455,1.63292,1.29576,0.0099604,0.0099604,0.0099604
6,165.178,1.42658,1.10159,1.22189,0.82093,0.70964,0.79882,0.48446,1.36532,1.17562,1.24361,0.0099505,0.0099505,0.0099505
7,176.402,1.39765,1.04655,1.21275,0.82809,0.7589,0.8571,0.51735,1.34401,1.0546,1.24638,0.0099406,0.0099406,0.0099406
8,187.618,1.40364,1.04441,1.2097,0.83451,0.74709,0.85588,0.51619,1.38812,0.9608,1.23697,0.0099307,0.0099307,0.0099307
9,198.755,1.38668,1.01583,1.20563,0.82652,0.7506,0.84837,0.52369,1.31735,1.05392,1.20711,0.0099208,0.0099208,0.0099208
10,209.9,1.37854,0.99401,1.19631,0.8564,0.72886,0.83573,0.52427,1.31661,1.04717,1.21195,0.0099109,0.0099109,0.0099109
11,220.918,1.36423,0.98215,1.19111,0.81998,0.72243,0.81681,0.48569,1.45236,1.02418,1.27361,0.009901,0.009901,0.009901
12,232.177,1.35546,0.95815,1.18428,0.84777,0.76323,0.86954,0.53923,1.29675,0.88232,1.21433,0.0098911,0.0098911,0.0098911
13,243.18,1.34626,0.93907,1.18952,0.8613,0.7817,0.88843,0.56626,1.27492,0.82939,1.16804,0.0098812,0.0098812,0.0098812
14,254.403,1.35245,0.94589,1.19481,0.809,0.75258,0.84712,0.51123,1.31929,0.96835,1.22676,0.0098713,0.0098713,0.0098713
15,265.464,1.3431,0.93008,1.1846,0.85679,0.80113,0.89356,0.56323,1.2877,0.85958,1.17977,0.0098614,0.0098614,0.0098614
16,276.763,1.34074,0.9146,1.1837,0.86637,0.78382,0.88347,0.56226,1.26939,0.86432,1.17792,0.0098515,0.0098515,0.0098515
17,289.105,1.32263,0.89394,1.1757,0.86872,0.81813,0.90501,0.58006,1.26519,0.77099,1.1887,0.0098416,0.0098416,0.0098416
18,300.246,1.33377,0.90282,1.17771,0.88258,0.75592,0.88313,0.56625,1.28287,0.83461,1.18781,0.0098317,0.0098317,0.0098317
19,311.334,1.31818,0.88467,1.17596,0.87587,0.78629,0.8996,0.58089,1.22432,0.79738,1.17557,0.0098218,0.0098218,0.0098218
20,322.276,1.32297,0.89233,1.18283,0.86631,0.76369,0.88256,0.56374,1.2547,0.82613,1.18315,0.0098119,0.0098119,0.0098119
21,333.454,1.31668,0.88161,1.17095,0.86245,0.7764,0.8882,0.57005,1.26203,0.83845,1.17843,0.009802,0.009802,0.009802
22,344.498,1.31638,0.87789,1.16659,0.84518,0.78312,0.87604,0.54748,1.29094,0.87433,1.19475,0.0097921,0.0097921,0.0097921
23,355.565,1.30437,0.8541,1.16525,0.86758,0.81925,0.9102,0.5875,1.25395,0.79122,1.16515,0.0097822,0.0097822,0.0097822
24,366.692,1.30955,0.86954,1.16878,0.87702,0.80042,0.90332,0.58135,1.26561,0.82193,1.17599,0.0097723,0.0097723,0.0097723
25,377.748,1.28985,0.84461,1.16191,0.86714,0.8069,0.89859,0.58557,1.23679,0.78494,1.16901,0.0097624,0.0097624,0.0097624
26,388.798,1.30036,0.84894,1.16418,0.86866,0.78453,0.88519,0.57425,1.24119,0.7718,1.16472,0.0097525,0.0097525,0.0097525
27,399.797,1.29126,0.84945,1.15469,0.87762,0.81597,0.91278,0.58846,1.24392,0.78368,1.16484,0.0097426,0.0097426,0.0097426
28,410.928,1.30042,0.83475,1.16541,0.86535,0.8255,0.91108,0.59143,1.2242,0.75693,1.16727,0.0097327,0.0097327,0.0097327
29,422,1.2763,0.83041,1.15555,0.87112,0.8118,0.90154,0.57406,1.28447,0.77637,1.19139,0.0097228,0.0097228,0.0097228
30,433.261,1.29351,0.82791,1.15169,0.87339,0.81876,0.91223,0.59613,1.22207,0.73095,1.15929,0.0097129,0.0097129,0.0097129
31,444.32,1.29394,0.82529,1.16743,0.89013,0.80996,0.91382,0.5946,1.24074,0.73676,1.16146,0.009703,0.009703,0.009703
32,455.36,1.27797,0.82394,1.1551,0.87279,0.81031,0.90814,0.58031,1.24084,0.80164,1.17145,0.0096931,0.0096931,0.0096931
33,466.312,1.28175,0.82224,1.14794,0.86881,0.82344,0.91367,0.59344,1.24687,0.73804,1.15991,0.0096832,0.0096832,0.0096832
34,477.294,1.26939,0.80598,1.14764,0.85654,0.83094,0.90909,0.59381,1.24676,0.7303,1.15612,0.0096733,0.0096733,0.0096733
35,488.352,1.26815,0.80463,1.14468,0.886,0.80436,0.90916,0.5897,1.25622,0.739,1.17273,0.0096634,0.0096634,0.0096634
36,499.438,1.27935,0.80528,1.14808,0.88213,0.8274,0.92001,0.6023,1.22297,0.7155,1.16464,0.0096535,0.0096535,0.0096535
37,510.371,1.2683,0.79841,1.14501,0.86424,0.82268,0.90324,0.56053,1.33482,0.74738,1.22605,0.0096436,0.0096436,0.0096436
38,521.332,1.26306,0.79959,1.14704,0.87645,0.82515,0.91578,0.60193,1.21673,0.71868,1.14722,0.0096337,0.0096337,0.0096337
39,532.385,1.27735,0.79854,1.14876,0.8672,0.82576,0.9108,0.59686,1.24111,0.71018,1.16964,0.0096238,0.0096238,0.0096238
40,543.606,1.24765,0.78956,1.13664,0.85616,0.80502,0.90161,0.5924,1.2256,0.75186,1.15695,0.0096139,0.0096139,0.0096139
41,554.649,1.2668,0.78695,1.14132,0.87329,0.80996,0.90934,0.60177,1.21732,0.73355,1.15367,0.009604,0.009604,0.009604
42,565.701,1.25275,0.79151,1.13451,0.87622,0.81809,0.9133,0.60161,1.21174,0.71408,1.15959,0.0095941,0.0095941,0.0095941
43,576.7,1.26679,0.77551,1.14472,0.88707,0.82798,0.92168,0.6,1.23714,0.70332,1.1621,0.0095842,0.0095842,0.0095842
44,587.956,1.2607,0.78528,1.13555,0.87744,0.80749,0.91116,0.59384,1.23179,0.71853,1.15601,0.0095743,0.0095743,0.0095743
45,599.14,1.25694,0.77612,1.14154,0.87806,0.81648,0.9123,0.60213,1.20428,0.70965,1.14113,0.0095644,0.0095644,0.0095644
46,610.122,1.25,0.77213,1.13496,0.88074,0.81653,0.90726,0.59325,1.22564,0.72838,1.16364,0.0095545,0.0095545,0.0095545
