epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.602,1.30759,0.86785,1.20123,0.84975,0.79907,0.88723,0.57148,1.23785,0.81195,1.20727,0.00328829,0.00328829,0.00328829
2,26.1062,1.29146,0.83302,1.19792,0.88702,0.79053,0.89661,0.58212,1.25363,0.76611,1.20298,0.00661507,0.00661507,0.00661507
3,37.5976,1.26782,0.82447,1.18823,0.87126,0.77499,0.88019,0.57396,1.21055,0.86035,1.19817,0.00993524,0.00993524,0.00993524
4,48.6074,1.28574,0.84579,1.18259,0.89422,0.79972,0.90372,0.59788,1.2235,0.77773,1.16917,0.0099703,0.0099703,0.0099703
5,59.6883,1.26517,0.82714,1.17913,0.8853,0.80184,0.90687,0.60012,1.22804,0.74562,1.17682,0.0099604,0.0099604,0.0099604
6,70.7254,1.28487,0.82652,1.18096,0.88353,0.81915,0.91281,0.59915,1.23546,0.73426,1.18772,0.0099505,0.0099505,0.0099505
7,81.7918,1.27535,0.80642,1.17877,0.86136,0.78453,0.88572,0.58325,1.22779,0.78081,1.19254,0.0099406,0.0099406,0.0099406
8,93.0023,1.28779,0.82967,1.18493,0.87212,0.80819,0.90686,0.58945,1.23128,0.7846,1.19702,0.0099307,0.0099307,0.0099307
9,104.137,1.28036,0.81447,1.18175,0.86936,0.7976,0.89527,0.58152,1.25454,0.7833,1.19052,0.0099208,0.0099208,0.0099208
10,115.289,1.28115,0.8212,1.18142,0.8763,0.80328,0.90725,0.59703,1.21946,0.74788,1.17593,0.0099109,0.0099109,0.0099109
11,126.649,1.27927,0.80755,1.17846,0.8849,0.80654,0.9052,0.5959,1.23098,0.76623,1.18476,0.009901,0.009901,0.009901
12,137.713,1.26907,0.80343,1.17293,0.87913,0.80417,0.90553,0.59151,1.23285,0.7424,1.186,0.0098911,0.0098911,0.0098911
13,148.778,1.26903,0.79754,1.18037,0.87205,0.80408,0.89829,0.57866,1.26758,0.76955,1.20947,0.0098812,0.0098812,0.0098812
14,159.77,1.27613,0.81105,1.18565,0.86728,0.80819,0.90284,0.58694,1.22999,0.75203,1.19608,0.0098713,0.0098713,0.0098713
15,170.844,1.27541,0.80754,1.17922,0.88513,0.81381,0.91312,0.60084,1.22699,0.74517,1.1848,0.0098614,0.0098614,0.0098614
16,182.029,1.27279,0.79701,1.17802,0.87611,0.81597,0.9072,0.59491,1.23209,0.75043,1.18709,0.0098515,0.0098515,0.0098515
17,193.105,1.25395,0.78762,1.17387,0.8742,0.82964,0.91381,0.60007,1.21093,0.72606,1.19119,0.0098416,0.0098416,0.0098416
18,204.195,1.2713,0.80347,1.17606,0.87879,0.8144,0.91064,0.59014,1.23722,0.75527,1.19448,0.0098317,0.0098317,0.0098317
19,215.388,1.26061,0.79234,1.17419,0.89084,0.8195,0.91658,0.6029,1.20788,0.71506,1.18605,0.0098218,0.0098218,0.0098218
20,226.374,1.26623,0.79393,1.18496,0.8758,0.81349,0.90966,0.59084,1.22417,0.72718,1.19118,0.0098119,0.0098119,0.0098119
21,237.371,1.271,0.7974,1.17891,0.88679,0.81915,0.91325,0.60133,1.21141,0.734,1.16748,0.009802,0.009802,0.009802
22,248.483,1.26314,0.79587,1.16772,0.87286,0.80268,0.90349,0.60073,1.2041,0.73328,1.17947,0.0097921,0.0097921,0.0097921
23,259.494,1.2583,0.78112,1.17274,0.88646,0.83151,0.92094,0.61083,1.19816,0.7078,1.16972,0.0097822,0.0097822,0.0097822
24,270.453,1.265,0.7984,1.17678,0.89103,0.80996,0.91483,0.60189,1.2065,0.73019,1.175,0.0097723,0.0097723,0.0097723
25,281.632,1.24838,0.77682,1.17294,0.87901,0.82633,0.91442,0.59569,1.22937,0.72846,1.19029,0.0097624,0.0097624,0.0097624
26,292.576,1.25961,0.78673,1.17482,0.87451,0.81703,0.9151,0.60017,1.21615,0.71942,1.18796,0.0097525,0.0097525,0.0097525
27,303.629,1.25017,0.78853,1.16499,0.88063,0.80784,0.90911,0.59767,1.20862,0.7233,1.18835,0.0097426,0.0097426,0.0097426
28,314.621,1.26843,0.78062,1.17822,0.8729,0.80537,0.90579,0.58787,1.23192,0.75366,1.18926,0.0097327,0.0097327,0.0097327
29,325.923,1.24713,0.78244,1.16875,0.87489,0.8301,0.91671,0.60599,1.20471,0.70173,1.16894,0.0097228,0.0097228,0.0097228
30,336.958,1.2586,0.77462,1.15991,0.8865,0.82444,0.91941,0.6017,1.21051,0.71113,1.1837,0.0097129,0.0097129,0.0097129
31,348.118,1.2561,0.77928,1.17445,0.89358,0.80375,0.91114,0.5974,1.23028,0.71318,1.18242,0.009703,0.009703,0.009703
32,359.17,1.24279,0.76911,1.16815,0.88216,0.80254,0.90494,0.58815,1.23942,0.73555,1.21004,0.0096931,0.0096931,0.0096931
33,370.534,1.2516,0.77259,1.16531,0.89054,0.82939,0.92001,0.60833,1.21853,0.70463,1.17557,0.0096832,0.0096832,0.0096832
34,381.573,1.24038,0.76501,1.16093,0.89356,0.81546,0.91522,0.60363,1.21515,0.7202,1.1709,0.0096733,0.0096733,0.0096733
35,392.537,1.23717,0.76905,1.1587,0.89112,0.83258,0.91943,0.61145,1.19861,0.69821,1.17411,0.0096634,0.0096634,0.0096634
36,403.577,1.25229,0.76942,1.16672,0.89648,0.82282,0.91773,0.60597,1.21243,0.70515,1.17512,0.0096535,0.0096535,0.0096535
37,414.578,1.2483,0.76755,1.16768,0.88893,0.82834,0.91742,0.59494,1.23729,0.71483,1.18879,0.0096436,0.0096436,0.0096436
38,425.73,1.23645,0.775,1.16616,0.89027,0.81102,0.9118,0.60481,1.2071,0.71489,1.1767,0.0096337,0.0096337,0.0096337
39,436.795,1.25232,0.76874,1.16717,0.87692,0.83893,0.92085,0.60254,1.22345,0.70403,1.19333,0.0096238,0.0096238,0.0096238
40,447.832,1.2319,0.75589,1.15886,0.89562,0.82138,0.92009,0.60541,1.21265,0.69833,1.17242,0.0096139,0.0096139,0.0096139
41,458.811,1.24067,0.76098,1.15958,0.87475,0.81905,0.91162,0.59617,1.22979,0.72692,1.18701,0.009604,0.009604,0.009604
42,469.927,1.23308,0.76016,1.15639,0.87508,0.78936,0.89747,0.58954,1.22829,0.74245,1.19649,0.0095941,0.0095941,0.0095941
43,480.987,1.24632,0.7576,1.16409,0.88535,0.82868,0.91791,0.60457,1.21044,0.70678,1.17589,0.0095842,0.0095842,0.0095842
44,492.094,1.24302,0.76117,1.15358,0.88363,0.8301,0.91798,0.60569,1.19803,0.70357,1.1717,0.0095743,0.0095743,0.0095743
45,503.069,1.24211,0.75211,1.16148,0.86795,0.81102,0.90149,0.58972,1.22878,0.72835,1.18445,0.0095644,0.0095644,0.0095644
46,514.403,1.23743,0.75485,1.15696,0.88427,0.80254,0.90468,0.59854,1.22481,0.72765,1.18446,0.0095545,0.0095545,0.0095545
47,525.685,1.23038,0.75106,1.15632,0.87667,0.8361,0.91972,0.60361,1.23668,0.6997,1.17111,0.0095446,0.0095446,0.0095446
48,537.473,1.22549,0.75207,1.15335,0.85572,0.81703,0.89762,0.57032,1.26382,0.75955,1.22403,0.0095347,0.0095347,0.0095347
49,548.724,1.24042,0.76129,1.15642,0.88713,0.81985,0.91813,0.60528,1.21315,0.68557,1.17374,0.0095248,0.0095248,0.0095248
50,559.957,1.24044,0.75721,1.15478,0.87775,0.83183,0.91776,0.60948,1.21619,0.69684,1.17877,0.0095149,0.0095149,0.0095149
51,571.124,1.2306,0.75396,1.15017,0.89428,0.82656,0.92001,0.60809,1.20743,0.69417,1.16687,0.009505,0.009505,0.009505
52,582.29,1.23123,0.75068,1.15487,0.89079,0.83822,0.92454,0.61397,1.20223,0.68545,1.15568,0.0094951,0.0094951,0.0094951
53,593.357,1.22569,0.74816,1.15143,0.86071,0.81314,0.9008,0.57995,1.2615,0.76223,1.21292,0.0094852,0.0094852,0.0094852
54,604.464,1.22696,0.743,1.15503,0.88266,0.84034,0.92396,0.61255,1.20887,0.68197,1.17154,0.0094753,0.0094753,0.0094753
55,615.551,1.22859,0.75048,1.15045,0.88211,0.83253,0.9159,0.60687,1.21059,0.69767,1.17241,0.0094654,0.0094654,0.0094654
56,626.645,1.22843,0.74541,1.15083,0.87296,0.84069,0.91936,0.61099,1.20663,0.68227,1.17454,0.0094555,0.0094555,0.0094555
57,637.723,1.21846,0.7478,1.15689,0.87975,0.8248,0.91525,0.60283,1.2153,0.71082,1.1851,0.0094456,0.0094456,0.0094456
58,648.833,1.23621,0.74641,1.15442,0.88707,0.83151,0.91942,0.60903,1.19664,0.70248,1.16578,0.0094357,0.0094357,0.0094357
59,659.886,1.22218,0.74253,1.15021,0.87656,0.83026,0.91727,0.60983,1.19871,0.69018,1.16911,0.0094258,0.0094258,0.0094258
60,670.887,1.22858,0.74792,1.15434,0.89232,0.8202,0.91914,0.61206,1.19583,0.68429,1.15783,0.0094159,0.0094159,0.0094159
61,681.815,1.23295,0.73519,1.15009,0.88501,0.83736,0.92399,0.60402,1.22938,0.68517,1.18833,0.009406,0.009406,0.009406
62,692.913,1.22617,0.73801,1.15332,0.8705,0.8548,0.92815,0.61008,1.2101,0.69212,1.17015,0.0093961,0.0093961,0.0093961
63,704.17,1.23139,0.73857,1.14821,0.88659,0.81809,0.91806,0.61323,1.19371,0.69435,1.15746,0.0093862,0.0093862,0.0093862
64,716.307,1.23943,0.7493,1.15392,0.88909,0.81314,0.91528,0.60074,1.23308,0.70095,1.19015,0.0093763,0.0093763,0.0093763
65,728.335,1.22672,0.73691,1.14868,0.87239,0.84458,0.92318,0.60897,1.21315,0.68038,1.17381,0.0093664,0.0093664,0.0093664
66,739.313,1.22306,0.73311,1.14512,0.89219,0.83221,0.92331,0.60794,1.22788,0.67989,1.18097,0.0093565,0.0093565,0.0093565
67,750.268,1.22459,0.73353,1.1488,0.8817,0.8414,0.92354,0.61173,1.20736,0.69135,1.16738,0.0093466,0.0093466,0.0093466
68,761.299,1.23235,0.74759,1.15433,0.88716,0.83045,0.91945,0.61158,1.20165,0.68541,1.17344,0.0093367,0.0093367,0.0093367
69,772.269,1.21877,0.73905,1.15028,0.88643,0.84105,0.92484,0.61845,1.1871,0.66107,1.16479,0.0093268,0.0093268,0.0093268
70,783.276,1.22673,0.7378,1.14907,0.88397,0.83963,0.92512,0.61259,1.20843,0.66591,1.17524,0.0093169,0.0093169,0.0093169
71,794.396,1.22859,0.73321,1.14944,0.89054,0.83433,0.92362,0.61727,1.1948,0.66739,1.15309,0.009307,0.009307,0.009307
72,805.384,1.21635,0.72778,1.14167,0.90699,0.84049,0.92738,0.61684,1.19595,0.67037,1.15976,0.0092971,0.0092971,0.0092971
73,816.321,1.20789,0.72522,1.13511,0.88647,0.82743,0.91806,0.61291,1.20645,0.69448,1.16894,0.0092872,0.0092872,0.0092872
74,827.232,1.21007,0.72486,1.14152,0.88748,0.84142,0.9269,0.61378,1.22084,0.66417,1.1789,0.0092773,0.0092773,0.0092773
75,838.726,1.22004,0.72885,1.14446,0.90465,0.82727,0.9278,0.61673,1.20879,0.67519,1.16327,0.0092674,0.0092674,0.0092674
76,849.67,1.21961,0.73093,1.14764,0.88854,0.83635,0.9257,0.6155,1.20115,0.67269,1.1645,0.0092575,0.0092575,0.0092575
77,860.576,1.22187,0.73589,1.14749,0.88384,0.8361,0.92344,0.60977,1.20784,0.68414,1.17527,0.0092476,0.0092476,0.0092476
78,871.557,1.21178,0.72904,1.14398,0.89821,0.84157,0.93164,0.6191,1.19206,0.67136,1.16288,0.0092377,0.0092377,0.0092377
79,882.757,1.21445,0.73128,1.15386,0.89679,0.8361,0.92605,0.61505,1.20495,0.66834,1.1656,0.0092278,0.0092278,0.0092278
80,893.835,1.20636,0.72508,1.14286,0.88329,0.85164,0.92997,0.61579,1.20718,0.65451,1.16819,0.0092179,0.0092179,0.0092179
81,904.878,1.22303,0.72915,1.14847,0.87062,0.84458,0.92267,0.60946,1.20954,0.67742,1.1775,0.009208,0.009208,0.009208
82,915.892,1.21658,0.72801,1.14731,0.8894,0.84387,0.92541,0.62211,1.18678,0.67307,1.15354,0.0091981,0.0091981,0.0091981
